Date,SPX250117C00200000,SPX250117C00400000,SPX250117C00800000,SPX250117C01000000,SPX250117C01400000,SPX250117C01800000,SPX250117C02000000,SPX250117C02600000,SPX250117C02800000,SPX250117C02900000,SPX250117C03000000,SPX250117C03500000,SPX250117C03600000,SPX250117C04000000,SPX250117C04050000,SPX250117C04100000,SPX250117C04200000,SPX250117C04300000,SPX250117C04450000,SPX250117C04500000,SPX250117C04600000,SPX250117C04650000,SPX250117C04675000,SPX250117C04700000,SPX250117C04750000,SPX250117C04775000,SPX250117C04800000,SPX250117C04825000,SPX250117C04850000,SPX250117C04875000,SPX250117C04900000,SPX250117C04925000,SPX250117C04950000,SPX250117C04975000,SPX250117C05000000,SPX250117C05025000,SPX250117C05050000,SPX250117C05075000,SPX250117C05100000,SPX250117C05125000,SPX250117C05150000,SPX250117C05175000,SPX250117C05200000,SPX250117C05225000,SPX250117C05250000,SPX250117C05275000,SPX250117C05300000,SPX250117C05325000,SPX250117C05350000,SPX250117C05375000,SPX250117C05400000,SPX250117C05425000,SPX250117C05450000,SPX250117C05475000,SPX250117C05500000,SPX250117C05525000,SPX250117C05550000,SPX250117C05575000,SPX250117C05600000,SPX250117C05625000,SPX250117C05650000,SPX250117C05675000,SPX250117C05700000,SPX250117C05725000,SPX250117C05750000,SPX250117C05775000,SPX250117C05800000,SPX250117C05825000,SPX250117C05850000,SPX250117C05875000,SPX250117C05900000,SPX250117C05925000,SPX250117C05950000,SPX250117C05975000,SPX250117C06000000,SPX250117C06025000,SPX250117C06050000,SPX250117C06075000,SPX250117C06100000,SPX250117C06125000,SPX250117C06150000,SPX250117C06175000,SPX250117C06200000,SPX250117C06225000,SPX250117C06250000,SPX250117C06275000,SPX250117C06300000,SPX250117C06325000,SPX250117C06350000,SPX250117C06375000,SPX250117C06400000,SPX250117C06425000,SPX250117C06450000,SPX250117C06475000,SPX250117C06500000,SPX250117C06525000,SPX250117C06550000,SPX250117C06575000,SPX250117C06600000,SPX250117C06625000,SPX250117C06650000,SPX250117C06675000,SPX250117C06700000,SPX250117C06750000,SPX250117C06800000,SPX250117C06850000,SPX250117C06900000,SPX250117C06950000,SPX250117C07000000,SPX250117C07100000,SPX250117C07200000,SPX250117C07400000,SPX250117C07600000,SPX250117C07800000,SPX250117C08000000,SPX250117C08200000,SPX250117C08400000,SPX250117C08600000,SPX250117C08800000,SPX250117C09000000
2024-11-01,5542.6,,,,,,,,,,,,,1776.5,,,,,,,,,,,,,1026.31,,,,,,,,805.68,,759.45,,,,,,,,,,539.48,,,,472.5,,,,375.11,,339.7,,294.28,285.27,260.32,247.18,220.65,226.3,188.71,,156.3,144.8,130.1,126.0,102.0,103.3,84.4,71.53,59.9,59.2,49.1,44.45,35.1,32.14,24.62,25.0,18.2,,13.92,13.25,9.5,,6.86,,5.2,4.92,3.9,,2.9,,,,2.05,,,,1.35,,,,,,0.55,0.38,,,0.22,,0.15,,,,,
2024-11-05,5567.44,,,,,,,,,,,,,1812.93,,,,,,,,,,,,,,,,,912.01,,,,841.23,,,,747.39,,,,,,,,,,,,481.54,452.6,408.99,,393.53,,346.98,,308.8,,273.53,,234.5,,197.09,184.0,170.1,152.5,138.5,,118.69,95.9,91.7,75.2,72.5,58.0,51.8,,41.22,32.01,27.22,22.28,21.53,,14.62,,11.29,,6.5,6.68,6.05,,,3.2,3.4,,2.7,,2.05,,1.65,,,,,,,,,,0.35,,,,,,,,,
2024-11-14,5771.34,,,,,,,,,,,,,,,,,,,1512.0,,,,,,,,,,,1116.45,,1068.27,,1018.75,,,,926.09,,,,,,762.08,,,705.57,688.9,643.5,612.4,592.65,,,525.38,,485.55,,,422.2,,,342.5,,,,277.6,,239.83,211.81,184.35,169.53,144.41,132.83,113.35,103.72,90.5,79.4,68.27,57.07,48.1,51.0,34.0,34.06,23.05,29.43,16.3,,10.95,8.9,6.75,6.4,4.15,3.66,2.75,2.32,3.1,,1.31,,,,,,0.4,,0.45,,,,,0.15,,,0.1,,,0.07,,
2024-11-15,5666.02,,,,,,3879.25,,,,,,,1901.5,,,,,,,,,,,,,,,,,,,,,927.97,,,,824.87,,,,731.35,,,,632.91,,589.6,571.1,550.5,525.0,504.6,,449.58,424.2,,385.3,366.94,,319.66,,281.76,,241.59,218.9,199.94,189.59,169.5,155.7,139.5,120.42,105.84,95.32,83.4,71.37,62.47,50.34,44.8,36.4,31.75,26.92,21.9,18.65,15.13,12.4,10.11,7.9,6.75,5.23,4.4,,2.9,2.45,2.15,1.64,,,0.95,,0.73,,0.62,0.45,,,0.4,,0.3,0.25,0.25,0.15,0.2,,,0.1,0.15,0.1,0.1,
2024-11-18,5706.45,,,,,,,,,,,,,1929.84,,,,,,,,,,,,,1119.47,,,,1042.7,,,,946.34,,,,861.15,,,,750.55,,,,,,,,,,,,472.64,448.0,426.74,,,,321.32,,298.58,,242.43,,218.33,,180.0,164.52,146.58,121.78,114.59,100.1,87.43,76.5,66.21,,44.6,38.69,33.4,29.3,22.13,20.38,15.12,11.96,9.62,8.95,6.8,5.5,3.9,,2.65,,1.8,1.37,1.15,,0.9,,0.75,,0.57,0.52,,,,,0.2,,0.15,0.1,0.14,,0.1,,,0.1,,0.1
2024-11-26,5812.98,,,5018.33,,,,,,,,,,2048.82,,,,,,,,,,,,,,,,,1154.09,,,,1061.77,,,,949.16,,,,,,801.08,,,,,,,,,,576.1,,,,461.34,,,,376.61,,339.6,,296.2,270.8,244.39,230.85,213.33,185.51,176.25,152.47,140.37,118.91,108.0,93.3,79.8,63.98,56.66,38.89,39.75,28.8,25.8,20.97,17.1,13.7,10.9,8.35,6.99,5.28,4.2,3.12,2.86,,1.8,,1.18,,,,,0.55,,,0.35,,,,,,,,,,,0.1,,
2024-12-03,5845.5,,,,,,4051.21,,,,3065.99,,,2077.33,,,,,,,,,,1380.39,,,,,,,,,,,1088.11,,1035.24,,983.95,,,,883.17,,840.87,,788.49,,,,689.02,,,,584.83,,,,,,444.54,,,,358.37,,314.84,289.48,269.53,238.61,228.28,207.35,185.6,164.15,148.0,122.9,111.97,96.43,84.14,68.76,58.1,46.1,38.4,30.83,25.3,19.3,15.52,12.02,9.6,7.35,5.67,4.2,3.2,2.5,2.15,1.85,1.32,,0.96,0.8,0.71,,,0.42,,,0.3,,0.25,0.25,,0.2,,0.15,,0.1,0.07,0.1,,
2024-12-17,5856.62,,5251.42,5054.15,,4256.47,4064.9,,,,3073.03,,,2079.17,,,,,,1570.7,,,,,,,,,,,,,,,1086.97,,,,984.62,,,,,,838.15,,,,,,,,628.53,,588.48,,531.28,511.34,489.49,,,,394.84,,,319.95,297.15,274.18,248.9,236.35,216.11,,169.86,149.25,131.04,111.3,100.4,84.66,66.0,56.03,43.4,32.5,27.02,20.8,16.02,11.85,8.9,6.77,5.2,3.53,2.65,1.9,1.5,1.0,0.85,,0.4,,0.37,,0.2,0.15,0.25,0.05,0.1,0.15,0.05,,0.1,0.1,,,,,,,,,,
2024-12-19,5695.9,,5104.8,4883.67,,4109.65,3888.72,,,,2915.81,,,1913.88,,,1724.35,,,,1320.2,1297.8,,,,,,,,,1029.9,,1002.66,980.02,928.0,930.64,,,,,,,729.45,723.01,686.3,659.98,645.6,,,,560.0,,,483.03,427.22,409.4,403.08,374.4,342.9,346.34,316.13,284.97,283.5,,240.24,219.72,176.31,164.4,139.74,124.37,108.2,92.9,79.5,67.05,54.13,43.6,34.43,27.35,20.58,16.05,11.4,8.94,6.6,4.4,3.27,2.78,1.59,2.1,0.8,1.22,0.38,0.3,0.35,0.55,0.24,,0.19,,0.18,,,,,,0.13,,,,,,,,,,0.05,,,,,0.05
2024-12-20,5763.78,,,4932.1,,4178.31,3957.87,,,,2966.7,,2367.89,1950.61,,,,,,1370.15,,,,,1161.9,,1176.62,,,,,,,,960.06,,,,,,,836.88,,,751.9,,704.74,,655.94,,567.07,,556.4,,472.69,,,,406.0,,330.32,350.54,286.1,263.8,239.09,,206.4,205.13,162.4,144.15,128.49,126.4,99.1,79.9,62.79,58.9,43.32,33.08,25.5,20.5,13.9,9.7,7.9,6.67,3.45,3.03,1.9,1.42,1.02,1.05,0.62,0.62,0.45,,0.17,0.3,0.1,,0.15,,0.15,,0.15,0.15,,,,,0.1,,0.1,0.05,0.05,,0.1,,0.05,,,
2024-12-23,5752.2,,,,,,,,,,,,,1984.61,,,,1645.0,,1477.12,1371.97,,,1278.56,,,1179.25,,,,1067.94,,1035.45,,996.14,,,,,864.65,,,,,699.4,,685.33,,,566.21,588.94,,531.44,,505.89,,,,401.12,377.52,324.2,321.19,304.11,284.67,,225.58,208.48,192.91,173.58,163.14,145.9,127.88,102.9,90.12,77.1,60.17,48.7,39.27,28.9,20.2,15.0,9.9,7.22,4.25,3.1,1.9,1.5,1.05,0.81,0.53,0.5,0.35,0.3,,0.22,0.16,,,,,,,,,0.11,,,0.1,,,,,0.05,,0.05,,0.05,,,
2024-12-24,5815.29,,,,,,,,3224.99,,,,,2046.23,,,,,,,1434.37,,,,,,,,,,,,,,1052.28,,,,,,,,806.1,,,,737.38,,,,656.55,,589.5,,558.74,,492.63,,437.0,421.88,367.86,,,326.5,285.02,253.44,257.05,,221.68,188.4,172.54,158.93,137.0,114.92,99.13,75.28,65.32,50.93,39.0,26.39,20.2,12.56,10.0,5.77,4.6,2.79,2.35,1.52,1.19,1.13,0.81,0.67,0.67,0.6,0.5,,0.4,,0.45,,,,0.4,,,,,,0.15,,,,,,0.05,,,,,
2024-11-19,,5501.49,,,,,,,,,,,,1948.34,,,,,,1402.1,,,,,,,,,,,,,,,958.09,,,,,,,,,,701.97,,655.97,,,,,,,,,,435.85,,390.31,,349.9,,310.37,284.77,268.15,252.82,228.42,,191.36,177.0,163.0,,123.45,,98.4,65.0,69.39,60.3,56.86,45.09,38.64,,28.33,22.75,19.3,,12.5,6.88,8.35,6.3,5.47,,3.4,,2.5,1.76,1.25,,1.15,,0.8,,0.7,0.42,0.35,,0.35,,0.3,,0.2,0.15,0.15,,0.1,,0.1,0.1,,
2025-01-02,,5470.36,,,,,,3298.41,,,,,,1873.35,,,,,,,,,,,,,1051.83,,,,,,,,877.32,,,,,,763.2,,650.0,,610.49,,571.37,,,,,,402.55,,369.77,,307.25,,264.0,315.4,228.19,219.7,197.33,165.71,150.24,133.5,114.64,84.95,88.98,73.68,56.8,47.26,36.25,25.8,19.27,12.9,9.2,4.99,3.7,2.25,1.42,0.95,0.6,0.4,0.35,,0.2,0.3,0.17,,0.12,,0.14,,0.1,,,,0.1,,,,0.1,,,,,,0.05,,,,,,,,,,,
2024-12-06,,,5289.56,,,,,,,,,,,,,,,,,1619.11,,,,,,,,,,,,,,,1119.41,,,,,,,,922.7,,872.5,,,,,,724.04,697.62,673.02,,628.7,,,564.65,538.0,516.35,482.3,,444.5,416.93,,,341.05,320.4,292.0,,247.72,,211.45,187.47,165.72,155.92,132.14,119.53,97.0,81.36,67.92,56.1,45.92,36.3,29.77,23.2,18.7,14.2,11.07,8.45,7.1,,3.67,,2.2,1.77,1.45,,,,0.67,,0.55,,0.45,,,,0.3,,0.2,0.15,,,,,,,,
2024-12-18,,,5265.98,,,4270.88,,,,,,,,1868.12,,,,,,1492.0,1413.22,,1321.2,1312.31,,1230.4,1274.53,,1222.85,,1190.49,,1040.6,,940.72,,942.8,,989.71,,,,,,724.83,,,,,621.9,589.24,,587.9,,505.31,,,346.36,370.0,,373.66,,285.69,,229.74,255.82,176.17,,132.0,117.89,100.2,87.25,82.27,62.91,55.0,41.27,40.7,28.2,24.0,17.63,13.86,11.66,9.2,7.15,5.5,4.53,3.1,2.51,1.83,1.39,1.15,1.7,1.3,0.6,0.45,0.47,0.35,0.35,0.19,0.2,0.4,0.3,0.17,0.1,0.17,0.1,0.05,0.15,1.05,0.2,0.07,,,,,,,,,
2025-01-07,,,5147.21,4925.99,,4148.86,,,,,,,,1907.3,,,,,,1456.93,,,,,,,,,,,,,,,909.7,,,,,,,,,,,,,,,,544.82,,,,484.53,,,365.82,341.42,,265.0,279.3,210.76,197.99,170.69,157.06,138.03,119.23,95.8,82.6,67.48,54.31,39.2,28.59,20.0,13.4,8.47,5.27,3.07,1.85,1.1,0.9,0.55,0.45,0.4,,0.32,0.27,0.25,,0.17,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-08,,,5104.81,4900.98,4501.48,4106.31,,,,,,,,1919.93,,,1720.0,,,,,,,,1153.2,,1112.92,,1063.88,,1013.98,,,,921.93,,,,,768.65,763.25,,,,661.81,,603.07,,,,524.22,,,,410.0,,,339.79,315.29,,,242.03,,,174.09,160.37,131.72,113.17,103.2,81.65,66.13,48.0,39.1,23.9,18.16,11.11,6.9,3.0,2.05,1.0,0.6,0.38,0.3,0.22,0.15,,,,,,,,,,0.08,0.07,0.08,0.07,,,,,0.08,,,,0.05,,0.05,,,,,,,,,,,
2025-01-10,,,5023.68,,4423.35,4024.68,,,3024.24,,2825.0,,,1827.41,,,,,,1331.97,,,,1149.16,,,,997.2,,,,,,,847.48,,795.29,,742.5,,,,655.0,657.23,595.5,567.8,543.48,,,,,,384.38,,350.65,,286.64,271.43,250.96,,194.4,188.6,145.77,140.8,98.94,84.76,66.2,51.7,40.3,29.3,19.44,12.5,7.8,5.2,2.4,1.3,0.65,0.35,0.3,0.14,0.2,0.22,0.15,0.1,0.1,0.15,0.15,,0.1,,,,0.1,0.05,0.07,,0.05,,0.05,,0.05,,,,,,,,0.05,,,,,0.05,,,,,,
2025-01-15,,,5148.12,,,,,,,,2935.11,,,1957.33,,,,,,,,1303.8,,,1211.27,,1151.3,,,,,,,,957.85,,910.85,,,810.9,,,753.0,,,684.91,,635.0,610.02,,553.45,,,,461.0,,,,351.96,317.72,,,257.14,234.12,184.19,188.99,156.89,126.3,111.04,88.19,60.46,39.0,23.52,13.17,5.25,1.85,0.6,0.25,0.2,0.2,0.15,0.15,0.1,0.1,0.1,0.1,0.05,,0.05,0.05,0.05,0.05,0.05,,0.03,,,,,,,,,,0.05,0.05,0.05,,0.03,,,,,,,,,,,
2024-07-22,,,,4565.74,,3787.27,3593.67,,,,,,,1668.26,,,,,,,,,,999.0,,,,,870.0,,,,772.81,,739.3,,,664.66,644.56,,,580.56,,539.35,510.7,,485.3,,,,409.17,,371.97,354.21,335.87,320.62,302.69,,269.43,,235.2,,199.25,195.2,181.52,168.5,145.6,,133.2,,111.5,,86.7,,77.35,,58.08,,52.25,,39.3,,34.9,,24.7,,,,,,13.5,,,,8.9,,,,,,,,3.5,,2.4,,,,1.3,,0.9,,,0.3,,,,,,
2024-07-23,,,,4566.34,,,3593.92,,,,2638.07,,,1661.3,,,,,,1202.16,,,,,,,,,,,,,,761.71,732.51,,,,,,,,,,525.23,,,,,,,,370.4,365.3,332.0,,,284.14,269.71,259.1,238.6,,208.92,,180.9,,,,,,111.71,,93.65,,75.6,,64.09,,56.05,,,,,,,,23.92,,,,13.7,,,,9.4,,,,,,,,,,,,,,1.6,,,,,,,,,,,
2024-07-25,,,,4433.47,,,3460.97,,,,,,,1585.37,,1450.02,,,,,,,,884.84,,,,,,,688.71,,,,604.88,,,,578.0,,,,470.77,,,,378.8,,,317.68,310.93,296.62,283.4,295.8,265.4,246.5,211.51,203.0,197.29,183.32,170.59,178.4,147.5,147.8,126.6,119.7,101.22,,84.61,,73.65,,,,50.1,,40.2,,,,25.25,,20.29,,19.4,,12.85,,,,8.07,,,,6.2,,,,4.2,,,,2.15,,,,,,1.1,,0.75,,,,,,,,,
2024-07-30,,,,4437.38,,,3463.9,,,,,,,1577.84,,,,,,,,906.81,,,832.03,,,,744.07,,,,661.46,,657.69,,,,519.5,,,,,,,,398.93,,,,303.0,,282.0,263.8,248.2,241.2,218.4,204.2,188.85,178.1,164.6,152.7,141.7,127.51,119.5,109.7,93.55,,83.6,,74.1,,60.5,,48.01,,40.0,,30.3,,23.39,,16.66,,15.3,,9.26,,,,4.36,,,,5.1,,,,3.4,,,,,,1.74,,,,1.05,,,,,,,0.2,,,,
2024-08-05,,,,4211.59,,,3242.59,,,,2259.42,1765.61,,1343.33,,,,,,888.63,809.91,764.08,,742.54,,,,,,,556.1,,,,500.68,473.24,,,410.69,,,,356.58,331.46,315.26,309.3,289.54,262.24,252.09,,222.37,,185.71,,174.72,153.6,140.0,131.5,124.87,,110.99,89.5,79.94,81.13,72.9,,61.66,,50.35,,41.1,,33.17,,26.95,,21.82,,17.8,,,,11.49,,9.64,,7.9,,,,4.9,,,,4.18,,,,,,,,2.8,,2.5,,,,1.35,,1.0,0.75,,,,,,,,
2024-08-08,,,,4286.37,,,,,,,,,,1427.15,,,,,,,,,,,,,706.28,,,,623.8,,560.4,,544.33,,504.5,,467.9,,,,387.13,355.2,340.45,,318.6,299.9,284.2,260.5,244.5,239.22,214.5,210.0,196.8,136.9,164.6,152.5,137.3,127.3,118.2,107.2,96.04,89.44,88.35,75.6,75.6,,56.1,,47.25,,35.38,,30.1,,23.8,,18.7,,14.9,,11.0,,8.4,,7.6,,,,4.48,,,,3.7,,,,2.62,,,,,,,,,,1.1,,,,,,,,,,,
2024-08-09,,,,4327.1,,,3352.75,,,,,,,1433.47,,,,,,,,,,793.96,,,707.78,,,,616.89,,577.72,,542.05,,496.21,,465.2,437.74,426.73,406.33,385.19,,,,324.83,,285.5,265.0,246.9,231.7,216.8,202.3,194.8,,162.8,158.34,142.9,,126.48,,99.98,90.89,81.9,75.23,66.77,,53.93,,43.46,,39.4,,26.5,,22.0,,16.5,,13.1,,10.6,,,,6.45,,,,4.7,,,,,,,,2.22,,,,1.75,,1.4,,,,,,,,,,,,,,,
2024-08-12,,,,4341.03,,,3365.48,,,,,,,,,,,,,,,,,,,,,,,,623.71,,,,549.16,,499.59,,,,,,386.61,365.79,,,313.19,,278.54,,245.18,230.8,216.5,202.4,187.5,174.0,160.39,145.4,137.0,126.0,114.4,103.5,95.4,86.75,78.34,70.59,64.7,,50.2,,39.82,,32.89,,25.22,,,,14.48,,12.2,,8.95,,7.05,,5.87,,,,3.63,,,,2.92,,,,1.92,,,,1.45,,1.05,,,,,,,,,,,,,,,
2024-08-15,,,,4544.89,,,3568.39,,,,2569.19,,,1600.19,,,,,,,,,,,,,,,,,,,,,694.48,,,,,,,,514.93,,455.1,,430.07,392.4,,,336.3,334.84,,302.4,284.5,250.0,258.47,238.65,224.6,208.1,194.5,181.18,162.29,149.1,138.7,125.84,115.04,,95.34,,80.99,,63.7,,52.74,,40.5,,32.2,,24.55,,19.61,,12.0,,11.65,,,,7.8,,,,4.0,,,,3.6,,,,2.65,,,,,,1.15,,,,,,,,,,,
2024-08-19,,,,4589.83,,,3612.58,,,,2643.89,,,1672.31,,,,,,1171.0,,,,1004.46,,,,,,,,,,,737.76,,658.71,,643.36,,,,550.75,,,,479.11,446.36,,,398.73,373.34,370.5,,316.84,,282.31,259.22,252.02,,205.17,209.6,194.6,176.07,166.3,149.4,140.9,,106.57,,96.72,,70.91,,61.4,,48.6,,38.5,,29.05,,23.4,,17.65,,14.4,,,,8.72,,,,5.6,,,,3.85,,,,2.54,,1.87,,,,1.1,,0.7,,,,,,,,,
2024-08-21,,,,4622.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683.86,,,,595.12,,,,506.22,,,,423.49,,,,342.14,,306.19,292.5,271.4,247.5,,222.96,210.45,,184.8,172.1,153.9,139.8,,,105.4,,89.61,,71.41,65.66,59.0,,43.38,,35.92,,27.27,,21.5,,17.51,,,,10.86,,,,6.7,,,,4.84,,,,3.3,,2.55,,,,1.5,,0.95,,,,,,,,,
2024-08-22,,,,4621.29,,,,,,,,,,1665.11,,,,,,,,,,1055.54,,,,,,,,,,,732.46,,,,632.79,,,,552.4,,,,490.1,463.07,,406.69,406.16,,385.29,368.04,330.31,297.36,288.07,287.42,254.07,238.6,213.7,201.9,182.79,175.8,168.9,,140.49,131.1,109.71,125.87,95.2,103.27,89.51,71.56,59.21,62.81,60.45,,37.5,,38.07,,29.98,,17.7,,14.3,,11.15,,8.83,,,,6.7,,,,,,,,3.1,,2.3,,,,1.45,,1.0,,,0.4,,,,,,
